"ID","Connectivity","Control","Integration","LocalIntegration","X1","Y1","X2","Y2","Length"
7589,4,0.666667,0.965586,2.39631,-1943.6,-4547.58,-1760.86,-4473.13,197.32
7593,6,0.757576,1.1644,3.31633,-1523.98,-4923.22,-1375.09,-4970.59,156.252
7598,3,0.816667,1.15989,2.40559,-353.118,-4215.94,-410.646,-4141.49,94.0868
7599,6,1.56667,1.15894,3,-461.406,-4256.55,-454.638,-4215.94,41.1694
7600,4,0.9,1.15878,2.60691,-437.718,-4243.01,-481.71,-4226.09,47.1338
7602,4,0.9,1.15872,2.56596,-451.254,-4249.78,-481.71,-4232.86,34.8406
7603,3,0.833333,1.08885,1.77404,-1710.1,-4689.71,-1672.88,-4770.93,89.3424
7605,7,1.71508,1.05084,3.45953,-1172.05,-5545.89,-1324.33,-5644.03,181.164
7609,3,0.75,1.03173,1.77404,-1818.39,-4415.6,-1906.37,-4405.45,88.5678
7621,5,1.39216,1.18281,2.87619,-515.55,-4385.14,-552.774,-4361.46,44.1223
7622,3,0.558824,1.18258,2.54498,-529.086,-4398.68,-559.542,-4381.76,34.8406
7623,4,0.92549,1.18258,2.64706,-539.238,-4405.45,-562.926,-4391.91,27.2829
7624,3,0.592157,1.18247,2.40559,-562.926,-4405.45,-579.846,-4378.38,31.9253
7625,3,0.592157,1.18247,2.40559,-552.774,-4391.91,-579.846,-4385.14,27.9052
7626,2,0.558824,1.18241,2.26408,-529.086,-4344.54,-566.31,-4314.08,48.0962
7627,2,0.258824,1.18241,2.26408,-546.006,-4378.38,-573.078,-4364.84,30.2676
7628,2,0.258824,1.18241,2.26408,-535.854,-4361.46,-569.694,-4351.3,35.3301
7629,10,2.61508,1.05139,3.9067,-1232.96,-5593.27,-1104.37,-5451.14,191.67
7634,4,0.847222,1.0497,2.79915,-1239.73,-5552.66,-1134.82,-5444.37,150.771
7650,3,0.386447,1.08597,2.30467,-569.694,-5332.69,-603.534,-5227.79,110.23
7651,3,0.386447,1.08597,2.30467,-593.382,-5325.93,-623.838,-5244.71,86.7411
7655,2,0.21978,1.08514,2.09074,-508.782,-5298.85,-556.158,-5214.25,96.9643
7656,2,0.21978,1.08514,2.09074,-556.158,-5312.39,-576.462,-5221.02,93.5995
7663,6,0.85119,1.1323,3.11857,-1510.45,-4940.14,-1398.77,-4831.85,155.556
7704,3,1.03333,1.08403,1.77404,-1513.83,-4784.47,-1490.14,-4842,62.2157
7706,2,0.533333,0.930224,1.37915,-1984.21,-3119.49,-2062.04,-3200.71,112.491
7710,1,0.2,0.929047,0.872556,-1997.74,-3146.56,-1957.13,-3102.57,59.87
7725,3,1.7,1.15009,1.72393,-326.046,-4314.08,-346.35,-4334.38,28.7146
7727,2,0.7,1.14998,1.27368,-332.814,-4307.31,-353.118,-4327.61,28.7146
7729,1,0.2,1.14987,0.872556,-346.35,-4300.54,-373.422,-4320.85,33.8403
7730,2,0.666667,0.966934,1,-309.126,-5518.82,-332.814,-5451.14,71.7076
7752,3,0.402778,1.14525,2.30467,-1273.57,-5068.73,-1324.33,-4940.14,138.252
7755,4,1.075,0.921206,2.39631,-2048.5,-3288.69,-2068.81,-3363.15,77.1693
7758,2,0.625,0.919563,1.57143,-2106.03,-3309,-2078.96,-3359.76,57.5294
7759,3,0.95,0.919319,1.77404,-2106.03,-3440.98,-2160.17,-3461.28,57.826
7760,3,1,0.926348,1.72393,-2065.42,-3180.4,-2011.28,-3231.17,74.2179
7761,2,1.2,0.834303,1.27368,-2190.63,-3386.83,-2156.79,-3359.76,43.3368
7765,1,0.25,0.839826,0.703987,-2221.09,-3234.55,-2180.48,-3190.56,59.8701
7771,2,1.5,0.764958,1,-2180.48,-3217.63,-2173.71,-3292.08,74.7573
7777,5,1.50952,1.13954,2.71844,-1260.03,-5170.26,-1121.29,-5038.28,191.491
7810,1,0.5,1.14094,0.210897,-925.014,-4486.67,-952.086,-4412.22,79.2196
7815,2,0.666667,0.997297,1.47837,-2051.89,-4364.84,-1960.52,-4368.22,91.4307
7816,2,0.433333,1.00909,1.74097,-1994.36,-4310.69,-1994.36,-4347.92,37.2251
7817,3,0.683333,1.00909,2.08105,-1896.22,-4425.75,-1899.61,-4331,94.8153
7818,3,0.486111,1.14244,2.13977,-1239.73,-5004.44,-1249.88,-4936.75,68.4392
7829,3,0.67619,0.963934,1.95859,431.97,-4926.6,381.21,-4879.22,69.4348
7830,2,0.342857,0.963781,1.57143,435.354,-4987.51,384.594,-4923.22,81.9195
7831,4,1.2,0.924122,2.23839,-2065.42,-3312.38,-2001.13,-3285.31,69.7632
7839,6,1.48333,1.00792,2.94219,-1730.41,-4567.89,-1781.17,-4449.44,128.862
7845,5,1.28333,1.00775,2.61145,-1882.69,-4513.74,-1838.69,-4611.88,107.548
7847,2,0.666667,0.917787,1.16341,-2150.02,-3440.98,-2129.72,-3508.66,70.662
7849,5,1.83333,0.923312,2.65405,-2014.66,-3278.54,-1984.21,-3420.67,145.359
7860,1,0.2,1.1323,0.872556,-1151.74,-5045.04,-1107.75,-4997.67,64.6523
7867,2,0.75,1.06194,1.27368,310.146,-4632.18,306.762,-4578.04,54.2513
7923,2,1,1.12374,1.05598,-816.726,-4869.07,-860.718,-4899.53,53.5063
7937,13,3.14802,1.01225,4.36524,-562.926,-5613.57,-606.918,-5437.6,181.389
7938,2,0.47619,0.952454,1.47837,343.986,-4929.98,547.026,-5170.26,314.572
7947,5,1.33333,1.06958,2.84439,-35.0221,-5315.77,-102.702,-5207.48,127.701
