ID,Area_Name,Gate_No,Axial_Map,LineID,X,Y,mov_ped_ph,landuse,trafmanage,streettype,avebuildheight,maxbuildheight,diff_max_avbheight,street_width,pavement_width,gross_veh_road_width,parking_width,effective_road_width
143,Calthorpe,41,Clerkenwell,307,1157.4,-2492.7,155,residential,twoway,primary,3,3,0,16,6,10,0,10
144,Calthorpe,42,Clerkenwell,148,1294.91,-2629.13,301,retail,twoway,primary,4,6,2,16.5,6.5,10,0,10
145,Calthorpe,43,Clerkenwell,467,1298.62,-2605.93,481,retail,restricted,local,4,4,0,14,0,0,0,0
146,Calthorpe,44,Clerkenwell,137,1292.99,-2607.68,335,retail,twoway,primary,4,4,0,18,7,11,0,11
147,Calthorpe,45,Clerkenwell,148,1248,-2577.95,230,commercial,twoway,primary,3,6,3,19,6.5,12.5,0,12.5
148,Calthorpe,46,Clerkenwell,137,1269.13,-2700.64,278,commercial,twoway,primary,4,4,0,19,8,11,3.5,7.5
149,Calthorpe,47,Clerkenwell,156,1240.18,-2733.33,112,residential,oneway,local,4,6,2,7,3,4,0,4
150,Calthorpe,48,Clerkenwell,146,1243.15,-2762.08,278,residential,twoway,primary,6,6,0,17,6,11,1.8,9.2
151,Calthorpe,49,Clerkenwell,14,1233.37,-2788.41,844,mixed,twoway,primary,6,8,2,27,11,16,0,16
152,Calthorpe,50,Clerkenwell,65,1214.94,-2823.15,1054,commercial,twoway,primary,5,8,3,19,7,12,0,12
153,Calthorpe,51,Clerkenwell,14,1196.09,-2804.93,847,mixed,twoway,primary,5,5,0,20,7,13,0,13
154,Calthorpe,52,Clerkenwell,65,1189.42,-2765,880,retail,twoway,primary,4,6,2,19,6.5,12.5,0,12.5
155,Calthorpe,53,Clerkenwell,587,1174.25,-2758.39,330,retail,oneway,local,3,4,1,12.5,5,7.5,3.5,4
156,Calthorpe,54,Clerkenwell,204,1167.62,-2724.77,683,mixed,twoway,primary,4,6,2,17.5,6.5,11,0,11
157,Calthorpe,55,Clerkenwell,586,1170.58,-2677.95,95,commercial,twoway,local,8,10,2,15,7.5,7.5,3.5,4
158,Calthorpe,56,Clerkenwell,807,1200.31,-2690.93,67,commercial,oneway,local,0,2,2,12,5,7,1.8,5.2
159,Calthorpe,57,Clerkenwell,267,1191.42,-2721.14,181,commercial,twoway,local,6,10,4,13.5,5,8.5,1.8,6.8
160,Calthorpe,58,Clerkenwell,589,1204.92,-2771.06,113,retail,oneway,local,6,6,0,4,1.5,2.5,0,2.5
161,Calthorpe,59,Clerkenwell,467,1227.76,-2693.57,157,residential,twoway,local,0,4,4,19,11.5,7.5,1.8,5.8
162,Calthorpe,60,Clerkenwell,1780,1221.63,-2658.69,83,commercial,restricted,local,0,6,6,12.5,5,7.5,1.8,5.8
163,Calthorpe,61,Clerkenwell,936,1269.95,-2686.62,76,commercial,twoway,local,4,6,2,13,6,7,1.8,5.2
164,Calthorpe,62,Clerkenwell,467,1258,-2656.16,197,retail,twoway,local,6,7,1,16,5,11,3.5,7.5
165,Calthorpe,63,Clerkenwell,965,1151.33,-2580.08,46,residential,pedestrian,local,0,6,6,7,0,0,0,0
166,SKMuseum,1,Kensington,390,-1053.54,-3869.87,282,mixed,twoway,secondary,5,12,7,18.5,6.5,12,3.5,8.5
167,SKMuseum,2,Kensington,212,-979.615,-3842.09,325,residential,twoway,primary,7,12,5,27,10.5,16.5,0,16.5
168,SKMuseum,3,Kensington,542,-910.669,-3851.87,271,college,twoway,primary,5,8,3,29,12,17,0,17
169,SKMuseum,4,Kensington,1130,-750.075,-3795.02,107,park,twoway,secondary,0,0,0,22.5,7.5,15,0,15
170,SKMuseum,5,Kensington,1338,-676.898,-3809.62,50,park,twoway,local,0,0,0,24,11,13,3.5,9.5
171,SKMuseum,6,Kensington,542,-629.518,-3839.25,191,residential,twoway,primary,6,8,2,18,5,13,0,13
172,SKMuseum,7,Kensington,1185,-592.444,-3882.69,124,residential,twoway,local,5,12,7,15.5,5,10.5,3.5,7
173,SKMuseum,9,Kensington,1185,-583.061,-3934.29,100,residential,twoway,local,5,6,1,15.5,5,10.5,3.5,7
174,SKMuseum,10,Kensington,3029,-599.379,-3961.09,65,residential,twoway,local,6,6,0,12,4.5,7.5,3.5,4
175,SKMuseum,11,Kensington,2966,-567.863,-3979.36,155,residential,twoway,local,2,5,3,8,2,6,1.8,4.2
176,SKMuseum,12,Kensington,2275,-580.986,-4030.16,116,church,pedestrian,local,4,6,2,3.5,0,0,0,0
177,SKMuseum,13,Kensington,729,-554.297,-4068.15,952,retail,twoway,primary,4,5,1,31,11.5,19.5,0,19.5
178,SKMuseum,14,Kensington,2091,-553.412,-4173.23,157,residential,twoway,primary,4,4,0,14.5,4.5,10,1.8,8.2
179,SKMuseum,15,Kensington,3731,-587.684,-4204.42,44,residential,oneway,local,5,5,0,12,5,7,3.5,3.5
180,SKMuseum,16,Kensington,3980,-599.651,-4175.41,32,residential,oneway,local,4,4,0,10,3.5,6.5,1.8,4.8
181,SKMuseum,17,Kensington,2160,-613.128,-4115.92,1028,retail,twoway,primary,6,6,0,30,11,19,0,19
182,SKMuseum,18,Kensington,2166,-630.317,-4163.98,19,residential,oneway,local,5,5,0,12,3,9,3.5,5.5
183,SKMuseum,19,Kensington,1220,-674.165,-4131.61,889,museum,twoway,primary,6,6,0,34,15,19,0,19
184,SKMuseum,20,Kensington,2160,-685.784,-4159.96,389,commercial,twoway,primary,4,5,1,13,5,8,0,8
185,SKMuseum,21,Kensington,2152,-673.406,-4202.75,168,residential,oneway,local,4,4,0,14,5,9,3.5,5.5
186,SKMuseum,22,Kensington,3479,-651.518,-4211.77,127,residential,oneway,local,4,4,0,12.5,4,8.5,3.5,5
187,SKMuseum,23,Kensington,3325,-680.568,-4236.53,592,residential,twoway,local,3,7,4,12.5,4.5,8,1.8,6.2
188,SKMuseum,24,Kensington,2263,-765.188,-4265.25,1380,retail,twoway,primary,5,6,1,14,5,9,0,9
189,SKMuseum,25,Kensington,3343,-785.888,-4250.31,306,retail,oneway,local,5,6,1,12,5,7,3.5,3.5
190,SKMuseum,26,Kensington,3993,-812.464,-4262.94,58,residential,twoway,local,4,6,2,7,0,7,3.5,3.5
191,SKMuseum,27,Kensington,2152,-815.118,-4233.61,437,mixed,twoway,secondary,5,6,1,20,8,12,3.5,8.5
192,SKMuseum,28,Kensington,988,-866.04,-4271.18,289,residential,twoway,secondary,5,5,0,31.5,9.5,22,7,15
193,SKMuseum,29,Kensington,2263,-875.468,-4353.15,484,retail,twoway,primary,3,5,2,16.5,6.5,10,0,10
194,SKMuseum,30,Kensington,4178,-900.63,-4321.78,36,residential,twoway,local,3,6,3,10.5,3.5,7,3.5,3.5
